0,0,0,1
0,0,-1,-1
0,1,-1,-1
0,1,0,-1
0,1,1,-1
1,1,1,-1
1,2,1,1
1,2,2,1
1,2,3,1
1,2,4,1
2,2,4,-1
3,2,4,-1
4,2,4,-1
4,2,3,-1
5,2,3,-1
5,1,3,-1
6,1,3,-1
6,0,3,1
6,0,2,1
5,0,2,1
4,0,2,1
4,0,3,1
3,0,3,-1
3,1,3,-1
2,1,3,-1
2,1,2,-1
2,2,2,-1
3,2,2,-1
3,2,1,1
4,2,1,-1
4,2,0,-1
4,3,0,-1
4,3,-1,-1
4,2,-1,1
4,1,-1,1
4,1,-2,1
5,1,-2,1
6,1,-2,-1
6,1,-1,-1
6,2,-1,-1
7,2,-1,-1
8,2,-1,1
8,2,0,1
7,2,0,1
7,1,0,-1
7,1,1,-1
7,1,2,-1
7,1,3,1
7,0,3,1
8,0,3,-1
8,1,3,-1
8,1,4,1
9,1,4,1
10,1,4,1
10,0,4,1
10,-1,4,-1
10,-2,4,1
10,-2,3,-1
10,-2,2,-1
11,-2,2,1
11,-2,3,-1
11,-3,3,-1
11,-4,3,-1
11,-5,3,-1
11,-5,4,1
11,-6,4,1
11,-6,3,-1
12,-6,3,-1
12,-6,2,-1
12,-7,2,-1
12,-7,1,-1
12,-7,0,1
13,-7,0,-1
13,-6,0,-1
13,-5,0,-1
13,-5,1,-1
13,-4,1,-1
13,-4,0,-1
13,-4,-1,1
13,-3,-1,1
13,-2,-1,1
13,-2,0,1
14,-2,0,-1
14,-1,0,-1
14,0,0,1
15,0,0,1
16,0,0,1
16,1,0,1
15,1,0,1
15,2,0,1
14,2,0,-1
14,2,1,1
15,2,1,1
15,2,2,1
15,1,2,1
16,1,2,-1
16,2,2,-1
17,2,2,-1
17,3,2,-1
17,3,1,-1
17,3,0,1
17,2,0,-1
18,2,0,-1
19,2,0,1
19,2,-1,-1
19,2,-2,-1
19,2,-3,-1
19,2,-4,-1
20,2,-4,-1
21,2,-4,1
21,3,-4,1
20,3,-4,-1
20,4,-4,-1
20,4,-3,-1
21,4,-3,1
21,3,-3,1
22,3,-3,1
23,3,-3,-1
23,2,-3,1
23,1,-3,-1
24,1,-3,-1
24,1,-2,-1
23,1,-2,-1
23,2,-2,1
23,2,-1,-1
23,2,0,-1
24,2,0,1
25,2,0,-1
25,2,-1,-1
26,2,-1,-1
26,3,-1,1
26,3,0,1
26,4,0,1
26,5,0,1
27,5,0,1
28,5,0,1
28,5,-1,1
28,4,-1,1
28,4,0,1
29,4,0,1
30,4,0,1
30,4,1,1
31,4,1,1
31,5,1,1
31,5,2,1
31,6,2,1
31,7,2,1
31,8,2,1
31,8,3,-1
32,8,3,-1
32,8,4,-1
31,8,4,-1
31,7,4,-1
31,7,5,-1
31,7,6,-1
32,7,6,1
32,6,6,1
33,6,6,1
33,7,6,1
33,7,5,1
34,7,5,1
34,7,6,1
34,6,6,1
35,6,6,1
36,6,6,-1
36,6,5,-1
37,6,5,-1
37,6,6,-1
37,5,6,-1
36,5,6,-1
36,5,7,1
36,4,7,-1
36,4,8,-1
36,3,8,-1
36,3,9,1
36,2,9,1
37,2,9,-1
38,2,9,1
38,1,9,-1
38,1,10,-1
37,1,10,-1
37,1,11,1
36,1,11,-1
36,2,11,1
35,2,11,-1
34,2,11,-1
34,2,10,-1
34,2,9,-1
34,1,9,-1
34,1,10,-1
34,0,10,1
34,0,11,-1
34,-1,11,-1
34,-1,10,1
33,-1,10,1
33,-2,10,-1
33,-2,9,-1
33,-3,9,-1
33,-3,8,1
33,-2,8,1
