1.2	-2.1	0.2
0.8083989501312336	-0.5429321334833147	-0.5107372957927409	0.0016211146851892388
0.7926509186351706	-0.5324334458192724	-0.5281823761988679	0.08761316548878513
0.8083989501312336	-0.5489313835770528	-0.5047848148421921	0.022000466853408143
0.8556430446194225	-0.5841769778777653	-0.5410125636498339	-0.04249914745270847
0.8162729658792651	-0.5463067116610423	-0.5206206072304754	0.09182660656949668
0.8582677165354331	-0.5755530558680165	-0.5446332298192298	0.07079985629368342
0.7769028871391076	-0.5174353205849267	-0.5066263061060718	0.02384863429784574
0.800524934383202	-0.52755905511811	-0.49311048121598383	0.06471955767674353
0.821522309711286	-0.5478065241844768	-0.5290514977765605	0.07100116493639132
0.7952755905511811	-0.5365579302587177	-0.5180017277083484	0.17987147734456288
